date,reservation count,defects,year,month,day
10/11/2018,111,2,2018,Oct,11
10/12/2018,178,0,2018,Oct,12
10/13/2018,207,0,2018,Oct,13
10/14/2018,214,2,2018,Oct,14
10/15/2018,186,2,2018,Oct,15
10/16/2018,135,2,2018,Oct,16
10/17/2018,120,0,2018,Oct,17
10/18/2018,160,0,2018,Oct,18
10/19/2018,168,2,2018,Oct,19
10/20/2018,210,0,2018,Oct,20
10/21/2018,163,0,2018,Oct,21
10/22/2018,135,2,2018,Oct,22
10/23/2018,130,0,2018,Oct,23
10/24/2018,102,0,2018,Oct,24
10/25/2018,117,0,2018,Oct,25
10/26/2018,150,10,2018,Oct,26
10/27/2018,14,0,2018,Oct,27
10/28/2018,165,6,2018,Oct,28
10/29/2018,81,0,2018,Oct,29
10/30/2018,71,0,2018,Oct,30
10/31/2018,106,2,2018,Oct,31
11/1/2018,117,2,2018,Nov,1
11/2/2018,128,2,2018,Nov,2
11/3/2018,206,6,2018,Nov,3
11/4/2018,167,2,2018,Nov,4
11/5/2018,106,0,2018,Nov,5
11/6/2018,93,2,2018,Nov,6
11/7/2018,98,0,2018,Nov,7
11/8/2018,161,4,2018,Nov,8
11/9/2018,172,2,2018,Nov,9
11/10/2018,233,0,2018,Nov,10
11/11/2018,178,6,2018,Nov,11
11/12/2018,171,6,2018,Nov,12
11/13/2018,84,2,2018,Nov,13
11/14/2018,84,0,2018,Nov,14
11/15/2018,44,0,2018,Nov,15
11/16/2018,95,4,2018,Nov,16
11/17/2018,182,4,2018,Nov,17
11/18/2018,122,4,2018,Nov,18
11/19/2018,215,2,2018,Nov,19
11/20/2018,195,2,2018,Nov,20
11/21/2018,187,4,2018,Nov,21
11/22/2018,57,0,2018,Nov,22
11/23/2018,189,4,2018,Nov,23
11/24/2018,187,4,2018,Nov,24
11/25/2018,118,0,2018,Nov,25
11/26/2018,59,0,2018,Nov,26
11/27/2018,77,0,2018,Nov,27
11/28/2018,88,0,2018,Nov,28
11/29/2018,116,2,2018,Nov,29
11/30/2018,156,0,2018,Nov,30
12/1/2018,178,4,2018,Dec,1
12/2/2018,133,4,2018,Dec,2
12/3/2018,97,0,2018,Dec,3
12/4/2018,126,4,2018,Dec,4
12/5/2018,79,4,2018,Dec,5
12/6/2018,98,0,2018,Dec,6
12/7/2018,160,0,2018,Dec,7
12/8/2018,166,0,2018,Dec,8
12/9/2018,162,0,2018,Dec,9
12/10/2018,118,0,2018,Dec,10
12/11/2018,90,0,2018,Dec,11
12/12/2018,91,2,2018,Dec,12
12/13/2018,101,2,2018,Dec,13
12/14/2018,169,0,2018,Dec,14
12/15/2018,168,4,2018,Dec,15
12/16/2018,119,4,2018,Dec,16
12/17/2018,105,0,2018,Dec,17
12/18/2018,102,0,2018,Dec,18
12/19/2018,89,2,2018,Dec,19
12/20/2018,114,4,2018,Dec,20
12/21/2018,75,0,2018,Dec,21
12/22/2018,137,4,2018,Dec,22
12/23/2018,106,2,2018,Dec,23
12/24/2018,58,2,2018,Dec,24
12/25/2018,0,0,2018,Dec,25
12/26/2018,119,0,2018,Dec,26
12/27/2018,186,0,2018,Dec,27
12/28/2018,207,4,2018,Dec,28
12/29/2018,159,2,2018,Dec,29
